Features per frame = 150
Frame 0
574.251 152.578 0
757.994 125.628 0
818.571 144.538 0
1136.35 325.627 0
1118.18 374.006 0
822.873 189.868 0
709.62 222.81 0
1094.75 126.121 0
554.107 196.288 0
1146.74 210.877 0
709.701 53.1368 0
1255.17 94.3036 0
305.297 268.396 0
1279.12 166.127 0
1177.16 24.8816 0
1153.78 71.2234 0
792.736 145.028 0
563.345 157.409 0
537.307 137.43 0
814.705 236.867 0
784.854 173.212 0
699.252 92.4848 0
899.602 100.823 0
737.351 257.95 0
637.315 243.68 0
1032.56 87.9283 0
1211.17 81.2247 0
563.983 215.501 0
705.785 165.632 0
1251.95 178.387 0
875.224 125.737 0
1210.83 143.324 0
Frame 2
967.677 521.382 0
748.231 212.279 0
938.4 703.723 0
76.1299 367.239 0
706.411 131.076 0
775.279 198.419 0
952.525 617.611 0
767.129 206.549 0
920.578 482.051 0
1251.61 62.0963 0
1263.74 29.8762 0
80.0329 356.123 0
922.518 463.436 0
82.2798 472.984 0
746.492 208.505 0
909.552 477.807 0
81.0574 427.28 0
1290.35 22.4059 -1
1226.37 63.0447 0
1134.74 5.46165 0
1254.22 167.837 0
98.105 396.673 0
1278.8 19.051 0
1239.39 42.1641 0
1268.61 57.133 0
499.718 682.92 0
1072.87 52.6914 0
540.179 668.328 0
647.356 222.144 0
722.167 86.8945 0
478.937 -0.883512 0
899.916 130.67 0
747.498 251.595 0
1230.26 172.866 0
997.621 22.374 0
1217.1 169.76 0
509.737 690.912 0
1228.7 284.469 0
547.228 660.344 0
1247.01 72.0629 0
529.887 671.064 0
672.269 106.519 0
1060.43 60.7345 0
1263.94 139.778 0
916.15 131.674 0
1243.32 147.579 0
1267.66 41.03 0
600.543 215.074 0
1120.88 351.241 0
666.698 81.1353 0
1274.01 106.459 0
104.884 202.349 0
629.373 248.054 0
1112.44 61.7805 0
82.0883 376.366 0
102.067 343.323 0
342.327 173.241 0
1109.7 334.76 0
895.731 88.4427 0
738.844 48.88 0
692.255 86.8332 0
1282 33.9852 0
227.784 140.917 0
1134.59 19.436 0
1115.65 4.39723 0
1248.73 18.0755 0
746.67 170.16 0
1241.82 193.927 0
899.668 120.684 0
966.06 167.859 0
784.908 248.618 0
51.2823 601.402 0
984.907 18.3868 0
520.827 657.102 0
728.687 228.47 0
926.596 511.266 0
1290.89 -2.38583 -1
1015.5 19.4333 0
324.753 173.05 0
568.89 189.055 0
212.102 159.555 0
678.338 141.909 0
967.832 156.764 0
702.179 152.993 0
736.275 277.618 0
1078.12 3.41809 0
1269.9 422.56 0
63.2076 427.967 0
1195.78 225.723 0
2.64536 506.631 0
1130.71 61.8578 0
760.628 48.9079 0
1273.11 287.489 0
1144.04 307.898 0
750.492 208.519 0
788.221 195.493 0
1112.44 34.6229 0
663.315 219.229 0
720.357 269.607 0
34.1561 190.16 0
98.2228 356.109 0
646.273 664.267 0
1249.29 155.712 0
64.9967 373.907 0
934.637 454.398 0
28.4048 417.81 0
888.041 695.514 0
994.996 9.30177 0
899.342 603.357 0
915.783 159.636 0
1290.13 69.3158 -1
732.675 208.238 0
833.303 105.391 0
561.553 143.576 0
1131.99 49.7051 0
960.898 521.096 0
522.544 142.582 0
635.461 190.016 0
576.481 151.798 0
760.85 125.175 0
821.214 144.467 0
1140.73 326.09 0
1122.59 374.454 0
826.032 189.494 0
712.185 222.269 0
1099.42 126.074 0
556.024 195.923 0
1151.3 211.29 0
712.902 52.8049 0
1259.67 94.2988 0
306.324 267.309 0
1283.77 166.777 0
1181.36 24.9205 0
1158.49 71.2968 0
795.174 144.383 0
565.534 156.565 0
539.538 136.634 0
817.383 236.694 0
787.255 172.533 0
702.169 91.8044 0
902.711 100.535 0
739.609 257.565 0
639.375 243.152 0
1036.73 87.7664 0
1215.59 81.2253 0
565.792 215.1 0
708.193 165.162 0
1257.49 178.888 0
878.717 125.534 0
1216.43 143.51 0
Frame 3
969.375 521.646 0
750.319 211.349 0
939.619 704.166 0
75.5744 365.256 0
708.482 129.948 0
777.409 197.603 0
954.005 617.969 0
769.292 205.711 0
922.117 482.18 0
1256.61 61.5404 0
1268.87 29.2203 0
79.3953 354.035 0
924.011 463.329 0
81.1559 470.965 0
748.583 207.566 0
910.941 477.817 0
80.453 425.698 0
706.07 132.871 0
1231.18 62.589 0
1139.49 4.60103 0
1258.83 167.669 0
97.7323 395.585 0
1282.29 24.1005 0
1244.29 41.6068 0
1273.64 56.4289 0
497.557 682.578 0
1077.15 52.096 0
538.296 668.109 0
648.838 221.076 0
724.859 85.6507 0
480.632 -2.25911 0
903.142 129.871 0
749.13 250.764 0
1234.8 172.677 0
1001.81 21.3311 0
1221.68 169.542 0
507.538 690.583 0
1232.91 284.607 0
545.339 660.177 0
1251.88 71.5023 0
527.896 670.691 0
674.541 105.231 0
1064.8 60.0324 0
1268.92 139.554 0
919.229 130.901 0
1247.83 147.31 0
1272.8 40.3265 0
601.996 214.189 0
1124.61 351.344 0
669.194 79.8146 0
1290.9 103.548 -1
105.282 200.606 0
630.819 246.95 0
1116.9 61.1293 0
81.5047 374.425 0
101.491 341.393 0
343.282 171.686 0
1113.11 334.591 0
898.894 87.5432 0
741.657 47.6229 0
695.035 85.5916 0
1287.68 32.9397 0
228.653 139.292 0
1139.28 18.6649 0
1120.29 3.46203 0
1253.87 17.3229 0
748.837 168.945 0
1246.37 193.823 0
902.742 119.888 0
969.011 167.148 0
786.819 247.959 0
49.6513 599.771 0
989.054 17.3808 0
518.85 656.678 0
730.473 227.617 0
927.833 511.363 0
950.442 618.336 0
1019.95 18.2804 0
325.425 171.313 0
570.129 187.696 0
212.732 157.659 0
680.552 140.573 0
970.895 156.01 0
704.217 151.89 0
737.846 276.781 0
1082.44 2.46861 0
1273.72 422.68 0
62.5581 426.132 0
1200.09 225.948 0
2.01154 505.008 0
1135.38 61.2194 0
763.66 47.7061 0
1277.37 287.586 0
1147.72 307.829 0
752.58 207.582 0
790.411 194.664 0
1116.98 33.9254 0
664.885 218.228 0
722.11 268.92 0
34.3861 188.088 0
97.7755 354.031 0
646.472 663.413 0
1253.83 155.521 0
64.132 371.746 0
935.97 454.369 0
27.2596 415.796 0
888.966 695.776 0
999.315 8.24581 0
900.363 603.587 0
918.71 159 0
702.083 130.842 0
734.699 207.225 0
836.048 104.373 0
563.136 142.376 0
1136.73 48.8311 0
962.559 521.354 0
524.105 141.3 0
637.098 188.795 0
